taidl_primitive,taidl_status,canonical_xla_op_from_taidl,matched_xla_hlo_op,exists_in_full_xla_csv,taidl_description,xla_description,suggested_abstraction_group,suggested_resource_class,suggested_functional_unit,taidl_web_source_url,xla_source_url,repo_source,notes
maximum,standard_xla,max,Max,True,Element-wise maximum of two tensors with compatible shapes.,Performs element-wise max operation on tensors lhs and rhs .,elementwise_alu,vector_alu,simd_lane_cluster,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#max,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
minimum,standard_xla,min,Min,True,Element-wise minimum of two tensors with compatible shapes.,Performs element-wise min operation on lhs and rhs .,elementwise_alu,vector_alu,simd_lane_cluster,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#min,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
select_lt,taidl_composite_helper,compare(LT) + select,Select,True,TAIDL helper that expands to a less-than compare followed by select between two choices.,"Constructs an output array from elements of two input arrays, based on the values of a predicate array.",predication_select,vector_alu,simd_lane_cluster_or_predicate_unit,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#select,/scratch/krish/MLIR-hardware-analysis/submodule/act/generators/oracle/templates/templates.txt,TAIDL-specific alias/helper; Maps to XLA Select plus compare logic; not a one-to-one native XLA op
select_eq_var,taidl_composite_helper,compare(EQ) + and + select,Select,True,"TAIDL helper that expands to scalar compare-to-zero tests, logical and, then select between two choices.","Constructs an output array from elements of two input arrays, based on the values of a predicate array.",predication_select,vector_alu,simd_lane_cluster_or_predicate_unit,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#select,/scratch/krish/MLIR-hardware-analysis/submodule/act/generators/oracle/templates/templates.txt,TAIDL-specific alias/helper; Maps to XLA Select plus compare logic; not a one-to-one native XLA op
xor,standard_xla,xor,Xor,True,Element-wise XOR of two tensors.,Performs element-wise XOR of lhs and rhs .,elementwise_alu,vector_alu,simd_lane_cluster,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#xor,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
add,standard_xla,add,Add,True,Element-wise addition of two tensors.,Performs element-wise addition of lhs and rhs .,elementwise_alu,vector_alu,simd_lane_cluster,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#add,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
dynamic_update_slice,standard_xla,dynamic_update_slice,DynamicUpdateSlice,True,Produces the input tensor with a slice overwritten by an update tensor at dynamic start indices.,"DynamicUpdateSlice generates a result which is the value of the input array operand , with a slice update overwritten at start_indices . The shape of update determines the shape of the sub-array of the result which is updated. The shape of start_indices must be 1-dimensional, with dimension size equal to the number of dimensions of operand .",data_movement_update,local_move_unit,scratchpad_update_engine,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#dynamicupdateslice,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
subtract,standard_xla,subtract,Sub,True,Element-wise subtraction of rhs from lhs.,Performs element-wise subtraction of lhs and rhs .,elementwise_alu,vector_alu,simd_lane_cluster,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#sub,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
multiply,standard_xla,multiply,Mul,True,Element-wise product of two tensors.,Performs element-wise product of lhs and rhs .,elementwise_alu,vector_alu,simd_lane_cluster,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#mul,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
divide,standard_xla,divide,Div,True,Element-wise division of lhs by rhs.,Performs element-wise division of dividend lhs and divisor rhs .,elementwise_alu,vector_alu,simd_lane_cluster,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#div,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
reduce,standard_xla,reduce,Reduce,True,Applies a user-provided reduction computation over one or more dimensions.,Applies a reduction function to one or more arrays in parallel.,reduction,reduction_unit,vector_reduce_tree,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#reduce,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
parameter,hlo_only,parameter,Parameter,True,Represents an argument input to a computation; present in HLO but not StableHLO.,Parameter represents an argument input to a computation.,input_literal,metadata_only,input_port_or_constant_store,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#parameter,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,TAIDL-specific alias/helper
reduce_add,taidl_alias,reduce with add combiner,Reduce,True,TAIDL shorthand for a sum reduction; semantically equivalent to reduce using addition as the combiner.,Applies a reduction function to one or more arrays in parallel.,reduction,reduction_unit,vector_reduce_tree,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#reduce,/scratch/krish/MLIR-hardware-analysis/submodule/act/generators/backend/primitive_model.py,TAIDL-specific alias/helper; Maps to XLA Reduce with add combiner
exponential,standard_xla,exponential,Exp,True,Element-wise natural exponential x -> e^x.,Element-wise natural exponential x -> e^x .,elementwise_special,vector_sfu,sfu_block,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#exp,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,Both TAIDL spellings map to XLA Exp
