xla_hlo_op,anchor_id,category,suggested_abstraction_group,description,source_url,source_page,notes
BatchNormGrad,batchnormgrad,normalization,specialized_compute,Calculates gradients of batch norm.,https://openxla.org/xla/operation_semantics#batchnormgrad,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
BatchNormInference,batchnorminference,normalization,specialized_compute,Normalizes an array across batch and spatial dimensions.,https://openxla.org/xla/operation_semantics#batchnorminference,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
BatchNormTraining,batchnormtraining,normalization,specialized_compute,Normalizes an array across batch and spatial dimensions.,https://openxla.org/xla/operation_semantics#batchnormtraining,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Bitcast,bitcast,layout_shape_type,layout_metadata,"Bitcast may appear in HLO dumps, but they are not intended to be constructed manually by end users.",https://openxla.org/xla/operation_semantics#bitcast,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
BitcastConvertType,bitcastconverttype,layout_shape_type,layout_metadata,"Similar to a tf.bitcast in TensorFlow, performs an element-wise bitcast operation from a data shape to a target shape. The input and output size must match: e.g. s32 elements become f32 elements via bitcast routine, and one s32 element will become four s8 elements. Bitcast is implemented as a low-level cast, so machines with different floating-point representations will give different results.",https://openxla.org/xla/operation_semantics#bitcastconverttype,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Broadcast,broadcast,tensor_movement,data_movement,Adds dimensions to an array by duplicating the data in the array.,https://openxla.org/xla/operation_semantics#broadcast,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Call,call,control_token_async,control_or_token,Invokes a computation with the given arguments.,https://openxla.org/xla/operation_semantics#call,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cbrt,cbrt,elementwise_unary,elementwise_special,Element-wise cubic root operation x -> cbrt(x) .,https://openxla.org/xla/operation_semantics#cbrt,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Ceil,ceil,elementwise_unary,elementwise_special,Element-wise ceil x -> ⌈x⌉ .,https://openxla.org/xla/operation_semantics#ceil,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cholesky,cholesky,linear_algebra,tensor_compute,Computes the Cholesky decomposition of a batch of symmetric (Hermitian) positive definite matrices.,https://openxla.org/xla/operation_semantics#cholesky,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Clamp,clamp,predication_selection,predication_select,Clamps an operand to within the range between a minimum and maximum value.,https://openxla.org/xla/operation_semantics#clamp,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Collapse,collapse,layout_shape_type,layout_metadata,Collapses dimensions of an array into one dimension.,https://openxla.org/xla/operation_semantics#collapse,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Clz,clz,elementwise_unary,elementwise_special,Element-wise count leading zeros.,https://openxla.org/xla/operation_semantics#clz,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
CollectiveBroadcast,collectivebroadcast,collective_communication,collective,"Broadcasts data across replicas. Data is sent from the first replica id in each group to the other ids in the same group. If a replica id is not in any replica group, the output on that replica is a tensor consisting of 0(s) in shape .",https://openxla.org/xla/operation_semantics#collectivebroadcast,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
CollectivePermute,collectivepermute,collective_communication,collective,CollectivePermute is a collective operation that sends and receives data across replicas.,https://openxla.org/xla/operation_semantics#collectivepermute,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Compare,compare,predication_selection,predication_select,Performs element-wise comparison of lhs and rhs of the following:,https://openxla.org/xla/operation_semantics#compare,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Complex,complex,elementwise_binary,elementwise_alu,"Performs element-wise conversion to a complex value from a pair of real and imaginary values, lhs and rhs .",https://openxla.org/xla/operation_semantics#complex,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ConcatInDim (Concatenate),concatindim_concatenate,tensor_movement,data_movement,Concatenate composes an array from multiple array operands. The array has the same number of dimensions as each of the input array operands (which must have the same number of dimensions as each other) and contains the arguments in the order that they were specified.,https://openxla.org/xla/operation_semantics#concatindim_concatenate,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Conditional,conditional,control_token_async,control_or_token,"Executes true_computation if predicate is true , false_computation if predicate is false , and returns the result.",https://openxla.org/xla/operation_semantics#conditional,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Constant,constant,literals_and_inputs,input_literal,Produces an output from a constant literal .,https://openxla.org/xla/operation_semantics#constant,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ConvertElementType,convertelementtype,layout_shape_type,layout_metadata,"Similar to an element-wise static_cast in C++, ConvertElementType performs an element-wise conversion operation from a data shape to a target shape. The dimensions must match, and the conversion is an element-wise one; e.g. s32 elements become f32 elements via an s32 -to- f32 conversion routine.",https://openxla.org/xla/operation_semantics#convertelementtype,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Conv (Convolution),conv_convolution,linear_algebra,tensor_compute,"Computes a convolution of the kind used in neural networks. Here, a convolution can be thought of as a n-dimensional window moving across a n-dimensional base area and a computation is performed for each possible position of the window.",https://openxla.org/xla/operation_semantics#conv_convolution,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Copy,copy,tensor_movement,data_movement,"Copy is internally decomposed into 2 HLO instructions CopyStart and CopyDone . Copy along with CopyStart and CopyDone serve as primitives in HLO. These ops may appear in HLO dumps, but they are not intended to be constructed manually by end users.",https://openxla.org/xla/operation_semantics#copy,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cos,cos,elementwise_unary,elementwise_special,Element-wise cosine x -> cos(x) .,https://openxla.org/xla/operation_semantics#cos,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cosh,cosh,elementwise_unary,elementwise_special,Element-wise hyperbolic cosine x -> cosh(x) .,https://openxla.org/xla/operation_semantics#cosh,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
CustomCall,customcall,control_token_async,control_or_token,Call a user-provided function within a computation.,https://openxla.org/xla/operation_semantics#customcall,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Div,div,elementwise_binary,elementwise_alu,Performs element-wise division of dividend lhs and divisor rhs .,https://openxla.org/xla/operation_semantics#div,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Domain,domain,control_token_async,control_or_token,"Domain may appear in HLO dumps, but it is not intended to be constructed manually by end users.",https://openxla.org/xla/operation_semantics#domain,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Dot,dot,linear_algebra,tensor_compute,The exact semantics of this operation depend on the ranks of the operands:,https://openxla.org/xla/operation_semantics#dot,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
DynamicReshape,dynamicreshape,layout_shape_type,layout_metadata,"This operation is functionally identical to reshape , but the result shape is specified dynamically via output_shape.",https://openxla.org/xla/operation_semantics#dynamicreshape,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
DynamicSlice,dynamicslice,tensor_movement,data_movement,"DynamicSlice extracts a sub-array from the input array at dynamic start_indices . The size of the slice in each dimension is passed in size_indices , which specify the end point of exclusive slice intervals in each dimension: [start, start + size). The shape of start_indices must be 1-dimensional, with dimension size equal to the number of dimensions of operand .",https://openxla.org/xla/operation_semantics#dynamicslice,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
DynamicUpdateSlice,dynamicupdateslice,tensor_movement,data_movement,"DynamicUpdateSlice generates a result which is the value of the input array operand , with a slice update overwritten at start_indices . The shape of update determines the shape of the sub-array of the result which is updated. The shape of start_indices must be 1-dimensional, with dimension size equal to the number of dimensions of operand .",https://openxla.org/xla/operation_semantics#dynamicupdateslice,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Erf,erf,elementwise_unary,elementwise_special,Element-wise error function x -> erf(x) where:,https://openxla.org/xla/operation_semantics#erf,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Exp,exp,elementwise_unary,elementwise_special,Element-wise natural exponential x -> e^x .,https://openxla.org/xla/operation_semantics#exp,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Expm1,expm1,elementwise_unary,elementwise_special,Element-wise natural exponential minus one x -> e^x - 1 .,https://openxla.org/xla/operation_semantics#expm1,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Fft,fft,linear_algebra,tensor_compute,The XLA FFT operation implements the forward and inverse Fourier Transforms for real and complex inputs/outputs. Multidimensional FFTs on up to 3 axes are supported.,https://openxla.org/xla/operation_semantics#fft,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Floor,floor,elementwise_unary,elementwise_special,Element-wise floor x -> ⌊x⌋ .,https://openxla.org/xla/operation_semantics#floor,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Fusion,fusion,control_token_async,control_or_token,Fusion operation represents HLO instructions and serves as a primitive in HLO. This op may appear in HLO dumps but is not intended to be constructed manually by end users.,https://openxla.org/xla/operation_semantics#fusion,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Gather,gather,tensor_movement,data_movement,The XLA gather operation stitches together several slices (each slice at a potentially different runtime offset) of an input array.,https://openxla.org/xla/operation_semantics#gather,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
GetDimensionSize,getdimensionsize,layout_shape_type,layout_metadata,Returns the size of the given dimension of the operand. The operand must be array shaped.,https://openxla.org/xla/operation_semantics#getdimensionsize,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
GetTupleElement,gettupleelement,tuple_structural,tuple_structural,Indexes into a tuple with a compile-time-constant value.,https://openxla.org/xla/operation_semantics#gettupleelement,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Imag,imag,elementwise_unary,elementwise_special,"Element-wise imaginary part of a complex (or real) shape. x -> imag(x) . If the operand is a floating point type, returns 0.",https://openxla.org/xla/operation_semantics#imag,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Infeed,infeed,io_and_transfer,io_or_transfer,"Reads a single data item from the implicit Infeed streaming interface of the device, interpreting the data as the given shape and its layout, and returns a XlaOp of the data. Multiple Infeed operations are allowed in a computation, but there must be a total order among the Infeed operations. For example, two Infeed 's in the code below have a total order since there is a dependency between the while loops.",https://openxla.org/xla/operation_semantics#infeed,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Iota,iota,layout_shape_type,layout_metadata,"Builds a constant literal on device rather than a potentially large host transfer. Creates an array that has specified shape and holds values starting at zero and incrementing by one along the specified dimension. For floating-point types, the produced array is equivalent to ConvertElementType(Iota(...)) where the Iota is of integral type and the conversion is to the floating-point type.",https://openxla.org/xla/operation_semantics#iota,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
IsFinite,isfinite,elementwise_unary,elementwise_special,"Tests whether each element of operand is finite, i.e., is not positive or negative infinity, and is not NaN . Returns an array of PRED values with the same shape as the input, where each element is true if and only if the corresponding input element is finite.",https://openxla.org/xla/operation_semantics#isfinite,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Log,log,elementwise_unary,elementwise_special,Element-wise natural logarithm x -> ln(x) .,https://openxla.org/xla/operation_semantics#log,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Log1p,log1p,elementwise_unary,elementwise_special,Element-wise shifted natural logarithm x -> ln(1+x) .,https://openxla.org/xla/operation_semantics#log1p,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Logistic,logistic,elementwise_unary,elementwise_special,Element-wise logistic function computation x -> logistic(x) .,https://openxla.org/xla/operation_semantics#logistic,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Map,map,control_token_async,control_or_token,"Applies a scalar function over the given operands arrays, producing an array of the same dimensions where each element is the result of the mapped function applied to the corresponding elements in the input arrays.",https://openxla.org/xla/operation_semantics#map,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Max,max,elementwise_binary,elementwise_alu,Performs element-wise max operation on tensors lhs and rhs .,https://openxla.org/xla/operation_semantics#max,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Min,min,elementwise_binary,elementwise_alu,Performs element-wise min operation on lhs and rhs .,https://openxla.org/xla/operation_semantics#min,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Mul,mul,elementwise_binary,elementwise_alu,Performs element-wise product of lhs and rhs .,https://openxla.org/xla/operation_semantics#mul,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Neg,neg,elementwise_unary,elementwise_special,Element-wise negation x -> -x .,https://openxla.org/xla/operation_semantics#neg,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Not,not,elementwise_unary,elementwise_special,Element-wise logical not x -> !(x) .,https://openxla.org/xla/operation_semantics#not,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
OptimizationBarrier,optimizationbarrier,control_token_async,control_or_token,Blocks any optimization pass from moving computations across the barrier.,https://openxla.org/xla/operation_semantics#optimizationbarrier,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Or,or,elementwise_binary,elementwise_alu,Performs element-wise OR of lhs and rhs .,https://openxla.org/xla/operation_semantics#or,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Outfeed,outfeed,io_and_transfer,io_or_transfer,Writes inputs to the outfeed.,https://openxla.org/xla/operation_semantics#outfeed,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Pad,pad,tensor_movement,data_movement,Expands the given operand array by padding around the array as well as between the elements of the array with the given padding_value . padding_config specifies the amount of edge padding and the interior padding for each dimension.,https://openxla.org/xla/operation_semantics#pad,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Parameter,parameter,literals_and_inputs,input_literal,Parameter represents an argument input to a computation.,https://openxla.org/xla/operation_semantics#parameter,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
PartitionID,partitionid,collective_communication,collective,Produces partition_id of the current process.,https://openxla.org/xla/operation_semantics#partitionid,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
PopulationCount,populationcount,elementwise_unary,elementwise_special,Computes the number of bits set in each element of operand .,https://openxla.org/xla/operation_semantics#populationcount,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Pow,pow,elementwise_binary,elementwise_alu,Performs element-wise exponentiation of lhs by rhs .,https://openxla.org/xla/operation_semantics#pow,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Real,real,elementwise_unary,elementwise_special,"Element-wise real part of a complex (or real) shape. x -> real(x) . If the operand is a floating point type, Real returns the same value.",https://openxla.org/xla/operation_semantics#real,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Recv,recv,io_and_transfer,io_or_transfer,"Recv , RecvWithTokens , and RecvToHost are operations that serve as communication primitives in HLO. These ops typically appear in HLO dumps as part of low-level input/output or cross-device transfer, but they are not intended to be constructed manually by end users.",https://openxla.org/xla/operation_semantics#recv,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Reduce,reduce,reduction_sort,reduction,Applies a reduction function to one or more arrays in parallel.,https://openxla.org/xla/operation_semantics#reduce,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReducePrecision,reduceprecision,reduction_sort,reduction,"Models the effect of converting floating-point values to a lower-precision format (such as IEEE-FP16) and back to the original format. The number of exponent and mantissa bits in the lower-precision format can be specified arbitrarily, although all bit sizes may not be supported on all hardware implementations.",https://openxla.org/xla/operation_semantics#reduceprecision,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReduceScatter,reducescatter,collective_communication,collective,ReduceScatter is a collective operation that effectively does an AllReduce and then scatters the result by splitting it into shard_count blocks along the scatter_dimension and replica i in the replica group receives the ith shard.,https://openxla.org/xla/operation_semantics#reducescatter,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReduceWindow,reducewindow,reduction_sort,reduction,"Applies a reduction function to all elements in each window of a sequence of N multi-dimensional arrays, producing a single or a tuple of N multi-dimensional arrays as output. Each output array has the same number of elements as the number of valid positions of the window. A pooling layer can be expressed as a ReduceWindow . Similar to Reduce , the applied computation is always passed the init_values on the left-hand side.",https://openxla.org/xla/operation_semantics#reducewindow,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Rem,rem,elementwise_binary,elementwise_alu,Performs element-wise remainder of dividend lhs and divisor rhs .,https://openxla.org/xla/operation_semantics#rem,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReplicaId,replicaid,collective_communication,collective,Returns the unique ID (U32 scalar) of the replica.,https://openxla.org/xla/operation_semantics#replicaid,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Reshape,reshape,tensor_movement,data_movement,Reshapes the dimensions of an array into a new configuration.,https://openxla.org/xla/operation_semantics#reshape,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Rev (reverse),rev_reverse,tensor_movement,data_movement,"Reverses the order of elements in the operand array along the specified dimensions , generating an output array of the same shape. Each element of the operand array at a multidimensional index is stored into the output array at a transformed index. The multidimensional index is transformed by reversing the index in each dimension to be reversed (i.e., if a dimension of size N is one of the reversing dimensions, its index i is transformed into N - 1 - i).",https://openxla.org/xla/operation_semantics#rev_reverse,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
RngNormal,rngnormal,random_generation,rng,"Constructs an output of a given shape with random numbers generated following the \(N(\mu, \sigma)\) normal distribution. The parameters \(\mu\) and \(\sigma\), and output shape have to have a floating point elemental type. The parameters furthermore have to be scalar valued.",https://openxla.org/xla/operation_semantics#rngnormal,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
RngUniform,rnguniform,random_generation,rng,"Constructs an output of a given shape with random numbers generated following the uniform distribution over the interval \([a,b)\). The parameters and output element type have to be a boolean type, an integral type or a floating point types, and the types have to be consistent. The CPU and GPU backends currently only support F64, F32, F16, BF16, S64, U64, S32 and U32. Furthermore, the parameters need to be scalar valued. If \(b <= a\) the result is implementation-defined.",https://openxla.org/xla/operation_semantics#rnguniform,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
