xla_hlo_op,description,hardware_abstraction_class,class_description,hardware_meaning,in_taidl,taidl_primitives,taidl_statuses,source_url,notes
Reshape,Reshapes the dimensions of an array into a new configuration.,logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",True,reshape,standard_xla,https://openxla.org/xla/operation_semantics#reshape,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
SetDimensionSize,Sets the dynamic size of XlaOp's given dimension. The operand must be array shaped.,logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",False,,,https://openxla.org/xla/operation_semantics#setdimensionsize,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Clamp,Clamps an operand to within the range between a minimum and maximum value.,predication_select,"Comparison, masking, clamping, and selection logic.",Usually implemented in vector ALUs with predicate support or small dedicated compare/select logic.,False,,,https://openxla.org/xla/operation_semantics#clamp,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Compare,Performs element-wise comparison of lhs and rhs of the following:,predication_select,"Comparison, masking, clamping, and selection logic.",Usually implemented in vector ALUs with predicate support or small dedicated compare/select logic.,False,,,https://openxla.org/xla/operation_semantics#compare,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Select,"Constructs an output array from elements of two input arrays, based on the values of a predicate array.",predication_select,"Comparison, masking, clamping, and selection logic.",Usually implemented in vector ALUs with predicate support or small dedicated compare/select logic.,True,select_eq_var|select_lt,taidl_composite_helper,https://openxla.org/xla/operation_semantics#select,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
SelectAndScatter,"This operation can be considered as a composite operation that first computes ReduceWindow on the operand array to select an element from each window, and then scatters the source array to the indices of the selected elements to construct an output array with the same shape as the operand array. The binary select function is used to select an element from each window by applying it across each window, and it is called with the property that the first parameter's index vector is lexicographically less than the second parameter's index vector. The select function returns true if the first parameter is selected and returns false if the second parameter is selected, and the function must hold transitivity (i.e., if select(a, b) and select(b, c) are true , then select(a, c) is also true ) so that the selected element does not depend on the order of the elements traversed for a given window.",predication_select,"Comparison, masking, clamping, and selection logic.",Usually implemented in vector ALUs with predicate support or small dedicated compare/select logic.,False,,,https://openxla.org/xla/operation_semantics#selectandscatter,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
RngBitGenerator,Generates an output with a given shape filled with uniform random bits using the specified algorithm (or backend default) and returns an updated state (with the same shape as initial state) and the generated random data.,random_generation,Random-number generation or RNG state manipulation.,Requires RNG engines or specialized scalar/vector support.,False,,,https://openxla.org/xla/operation_semantics#rngbitgenerator,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
RngGetAndUpdateState,The API of the various Rng operations are internally decomposed into HLO instructions including RngGetAndUpdateState .,random_generation,Random-number generation or RNG state manipulation.,Requires RNG engines or specialized scalar/vector support.,False,,,https://openxla.org/xla/operation_semantics#rnggetandupdatestate,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
RngNormal,"Constructs an output of a given shape with random numbers generated following the \(N(\mu, \sigma)\) normal distribution. The parameters \(\mu\) and \(\sigma\), and output shape have to have a floating point elemental type. The parameters furthermore have to be scalar valued.",random_generation,Random-number generation or RNG state manipulation.,Requires RNG engines or specialized scalar/vector support.,False,,,https://openxla.org/xla/operation_semantics#rngnormal,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
RngUniform,"Constructs an output of a given shape with random numbers generated following the uniform distribution over the interval \([a,b)\). The parameters and output element type have to be a boolean type, an integral type or a floating point types, and the types have to be consistent. The CPU and GPU backends currently only support F64, F32, F16, BF16, S64, U64, S32 and U32. Furthermore, the parameters need to be scalar valued. If \(b <= a\) the result is implementation-defined.",random_generation,Random-number generation or RNG state manipulation.,Requires RNG engines or specialized scalar/vector support.,False,,,https://openxla.org/xla/operation_semantics#rnguniform,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Reduce,Applies a reduction function to one or more arrays in parallel.,reduction,"Ops that combine many values into fewer values, including windowed or associative aggregations.","Typically handled by reduction trees, vector reduction hardware, or decomposed tensor engines depending on the pattern.",True,reduce|reduce_add,standard_xla|taidl_alias,https://openxla.org/xla/operation_semantics#reduce,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReducePrecision,"Models the effect of converting floating-point values to a lower-precision format (such as IEEE-FP16) and back to the original format. The number of exponent and mantissa bits in the lower-precision format can be specified arbitrarily, although all bit sizes may not be supported on all hardware implementations.",reduction,"Ops that combine many values into fewer values, including windowed or associative aggregations.","Typically handled by reduction trees, vector reduction hardware, or decomposed tensor engines depending on the pattern.",False,,,https://openxla.org/xla/operation_semantics#reduceprecision,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReduceScatter,ReduceScatter is a collective operation that effectively does an AllReduce and then scatters the result by splitting it into shard_count blocks along the scatter_dimension and replica i in the replica group receives the ith shard.,reduction,"Ops that combine many values into fewer values, including windowed or associative aggregations.","Typically handled by reduction trees, vector reduction hardware, or decomposed tensor engines depending on the pattern.",False,,,https://openxla.org/xla/operation_semantics#reducescatter,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReduceWindow,"Applies a reduction function to all elements in each window of a sequence of N multi-dimensional arrays, producing a single or a tuple of N multi-dimensional arrays as output. Each output array has the same number of elements as the number of valid positions of the window. A pooling layer can be expressed as a ReduceWindow . Similar to Reduce , the applied computation is always passed the init_values on the left-hand side.",reduction,"Ops that combine many values into fewer values, including windowed or associative aggregations.","Typically handled by reduction trees, vector reduction hardware, or decomposed tensor engines depending on the pattern.",False,,,https://openxla.org/xla/operation_semantics#reducewindow,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Scan,"Applies a reduction function to an array across a given dimension, producing a final state and an array of intermediate values.",reduction,"Ops that combine many values into fewer values, including windowed or associative aggregations.","Typically handled by reduction trees, vector reduction hardware, or decomposed tensor engines depending on the pattern.",False,,,https://openxla.org/xla/operation_semantics#scan,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
TopK,TopK finds the values and indices of the k largest or smallest elements for the last dimension of the given tensor.,reduction,"Ops that combine many values into fewer values, including windowed or associative aggregations.","Typically handled by reduction trees, vector reduction hardware, or decomposed tensor engines depending on the pattern.",False,,,https://openxla.org/xla/operation_semantics#topk,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Abs,Element-wise abs x -> |x| .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#abs,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cbrt,Element-wise cubic root operation x -> cbrt(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#cbrt,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
